	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
ERR024901	1507	1494	1510	1510	1506	1506	1506	1506	1508	1507	1501	1507	1507	1499	1507	1507	1507	1507	1500	1507	1507	1507	1507	1499	1508	1476	1507	1507	1497	1502	0	1495	1506	1510	1505	1506	1511	1503	1506	1496	1507	1507	1507	1507	1506	1507	1506	1511	1506	1507	1507	1511	1489	1506	1479	1507	1507	1506	1507	1498	1507	1507	1507	1508	1507	1507	1506	1498	1507	1507	1506	1499	1507	1500	1507	1499	1507	1487	1507	1507	1508	1505	1506	1508	1507	1485	1507	1508	1507	1507	1505	1507	1506	1507	1510	1435	1507	1506	1499	1506	1507	1507	1507	1507	1497	1496	1507	1503	1506	1517	1510	1507	1506	1506	1499	1507	1506	1507	1507	1502	1310	1506	1508	1507	1507	1499	1497	1506	1511	1507	1507	1507	1472	1510	1510	1507	1506	1506	1507	1506	1503	1510	1507	1507	1507	1510	1507	1507	1507	1507	1509	1507	1497	1507	1499	1506	1508	1507	1499	1511
ERR024907	1087	1121	1036	1032	1090	1073	1099	1088	1085	1088	1071	1087	1086	1080	1085	1088	1086	1085	894	1086	1085	1085	1085	1074	1517	1301	1086	1085	1059	1058	1495	0	1088	1035	1098	1087	1031	1117	1090	1117	1086	1085	1086	1085	1101	1085	1121	1032	1087	1086	1086	1034	885	1087	920	1086	1085	1122	1087	907	1088	1087	1086	1086	1088	1085	1088	1070	1086	1085	1088	1081	1087	1068	1086	1084	1086	1087	1088	1086	1085	1084	1096	1086	1086	953	1087	1084	1088	1087	1121	1085	1090	1087	1033	1166	1087	1088	1087	1090	1085	1087	1085	1085	1062	1093	1086	1093	1121	1512	1034	1087	1088	1089	1087	1085	1088	1087	1085	1059	1458	1090	1087	1089	1087	1083	870	1087	1032	1088	1086	1087	954	1034	1035	1086	1120	1091	1085	1091	1061	1501	1086	1086	1085	1032	1088	1087	1087	1086	1033	1087	1064	1087	1085	1091	1085	1087	1083	1033
ERR1414060	5	1116	1013	1006	579	269	60	4	6	3	996	5	5	839	6	10	6	6	1083	4	5	5	5	1001	1535	1044	6	6	1001	988	1506	1088	0	1005	87	4	1008	1108	578	1111	7	6	5	4	68	5	1104	1008	35	4	7	1008	1126	3	1093	4	5	1107	9	1084	5	37	3	9	6	6	39	1001	39	6	7	842	6	996	4	840	6	864	41	4	8	34	66	39	4	1130	4	6	4	5	1110	6	579	6	1005	1258	4	3	842	578	5	3	5	6	999	851	5	587	1104	1531	1008	6	6	3	842	5	6	6	5	986	1473	6	6	9	5	841	1086	4	1006	36	4	8	1146	1006	1007	7	1104	23	6	580	985	1518	39	4	6	1007	37	3	4	4	1009	5	1000	3	836	579	8	5	835	1008
ERR1413989	1007	1047	25	6	1002	953	1014	1007	1007	1006	974	1007	1006	858	1007	1007	1006	1007	1033	1006	1007	1007	1007	996	1534	1276	1006	1007	977	956	1510	1035	1005	0	1022	1006	96	1033	1001	1037	1008	1007	1007	1007	1017	1007	1030	96	1010	1006	1007	95	1044	1006	1041	1007	1007	1034	1007	1031	1006	1011	1006	1006	1007	1008	1009	996	1010	1008	1007	859	1007	973	1006	859	1006	883	1010	1006	1009	1011	1015	1010	1006	1060	1005	1009	1005	1007	1036	1007	1003	1008	48	1226	1005	1005	862	1000	1007	1005	1007	1008	994	872	1006	1007	1033	1529	10	1007	1007	1005	859	1007	1007	1005	1007	954	1473	1006	1008	1007	1006	859	1025	1006	93	1008	1006	1006	1099	7	3	1008	1030	1008	1007	1003	955	1515	1010	1006	1008	6	1008	1005	1005	1006	36	1005	995	1005	858	1005	1007	1007	857	95
ERR1414055	90	1126	1030	1023	624	333	124	89	89	88	1011	90	90	869	91	89	91	93	1098	91	92	92	92	1019	1528	962	89	91	1019	1008	1505	1098	87	1022	0	91	1025	1122	623	1124	92	93	92	91	135	92	1117	1022	119	91	88	1022	1135	90	1098	91	92	1123	90	1100	88	121	90	90	91	93	119	1019	123	93	86	872	89	1017	91	867	89	890	124	91	91	116	129	121	91	1147	91	91	89	90	1126	91	625	93	1018	1217	91	88	868	624	92	90	91	93	1016	881	92	633	1119	1527	1024	89	87	86	865	92	89	87	92	1006	1475	87	91	88	92	867	1101	89	1023	120	91	89	1162	1023	1023	92	1118	94	91	624	1003	1515	123	91	93	1023	118	90	91	91	1025	92	1016	90	863	624	91	90	865	1022
ERR1414048	5	1115	1012	1005	578	265	62	4	6	5	995	3	5	839	4	12	6	4	1082	4	3	3	3	1000	1535	1046	6	4	999	987	1506	1087	4	1006	91	0	1007	1107	580	1110	5	4	5	4	66	3	1105	1007	37	4	7	1009	1125	1	1092	4	3	1108	7	1083	5	35	5	9	8	4	43	1001	37	4	9	842	6	995	4	840	6	864	39	2	8	32	68	39	4	1129	2	6	6	5	1109	4	578	6	1006	1260	2	3	844	577	3	3	5	4	998	851	3	586	1103	1531	1007	6	6	5	844	3	6	6	3	985	1473	6	6	9	5	839	1085	4	1007	38	4	8	1145	1005	1008	5	1103	23	4	579	987	1518	37	4	4	1006	37	3	4	4	1008	3	999	5	838	580	6	5	837	1009
ERR1413981	1010	1042	106	98	1006	955	1016	1010	1010	1009	973	1008	1009	861	1008	1010	1008	1007	1025	1009	1008	1008	1008	995	1534	1275	1009	1008	975	957	1511	1031	1008	96	1025	1007	0	1028	1007	1033	1009	1008	1010	1008	1019	1008	1028	12	1011	1009	1010	14	1046	1007	1033	1008	1008	1033	1008	1024	1009	1012	1009	1009	1010	1009	1011	995	1011	1009	1010	861	1010	972	1009	862	1007	888	1011	1007	1010	1011	1017	1013	1009	1052	1008	1010	1008	1010	1032	1008	1008	1011	101	1229	1008	1008	868	1004	1008	1008	1008	1009	992	877	1006	1012	1030	1530	101	1010	1010	1008	864	1008	1010	1008	1008	955	1475	1009	1011	1010	1009	862	1016	1009	12	1011	1009	1009	1098	97	99	1009	1027	1010	1008	1007	959	1515	1011	1009	1009	97	1011	1008	1007	1009	92	1007	993	1007	865	1011	1008	1010	865	9
ERR024894	1107	80	1031	1030	1103	1088	1118	1107	1107	1108	1068	1107	1107	1090	1106	1108	1107	1106	1081	1107	1106	1106	1106	1093	1531	1303	1107	1106	1072	1060	1503	1117	1108	1033	1122	1107	1028	0	1100	69	1106	1106	1107	1106	1121	1106	48	1029	1111	1107	1108	1030	1114	1107	1086	1107	1106	89	1107	1086	1108	1110	1107	1108	1107	1106	1112	1089	1111	1106	1107	1090	1107	1065	1107	1092	1107	1097	1110	1107	1106	1109	1121	1112	1107	1134	1108	1106	1109	1107	48	1106	1099	1108	1028	1239	1108	1108	1093	1099	1106	1108	1106	1106	1087	1093	1107	1099	50	1521	1030	1107	1107	1109	1094	1106	1108	1108	1106	1061	1471	1109	1109	1109	1108	1092	1098	1107	1029	1113	1107	1108	1149	1032	1033	1107	46	1112	1106	1099	1064	1518	1111	1107	1106	1030	1110	1108	1108	1107	1028	1108	1088	1108	1094	1107	1107	1107	1093	1030
ERR1414091	579	1109	1008	1001	21	616	598	579	578	578	999	580	579	822	578	580	580	580	1099	578	579	579	579	1004	1536	1158	578	578	1004	991	1506	1090	578	1001	623	580	1007	1100	0	1106	580	579	579	578	596	579	1095	1007	581	578	579	1007	1121	579	1101	579	579	1097	581	1097	580	581	577	580	578	580	580	1002	581	580	578	827	580	997	578	828	580	855	586	579	580	582	600	581	578	1127	579	580	580	579	1101	578	17	580	999	1257	579	579	829	14	579	578	579	580	1002	841	580	58	1096	1531	1003	580	580	578	830	579	579	579	579	990	1475	580	581	581	579	827	1079	577	1005	579	578	580	1153	1002	1002	581	1095	587	579	6	990	1521	581	578	580	1002	581	578	579	578	1002	580	1003	578	823	21	580	579	820	1007
ERR024928	1111	100	1036	1035	1109	1094	1121	1111	1111	1111	1068	1110	1111	1095	1110	1112	1111	1110	1081	1111	1110	1110	1110	1099	1529	1288	1111	1110	1072	1061	1496	1117	1111	1037	1124	1110	1033	69	1106	0	1110	1110	1111	1110	1124	1110	77	1034	1115	1111	1112	1035	1109	1110	1082	1110	1110	114	1110	1091	1111	1114	1111	1111	1111	1110	1116	1095	1115	1110	1111	1095	1111	1066	1111	1096	1110	1098	1114	1110	1110	1110	1123	1116	1111	1138	1111	1110	1112	1111	77	1110	1105	1112	1033	1225	1111	1111	1098	1105	1110	1111	1110	1110	1093	1093	1110	1107	79	1521	1035	1111	1111	1112	1098	1110	1112	1111	1110	1061	1471	1112	1112	1112	1111	1096	1101	1111	1034	1116	1111	1112	1154	1036	1037	1111	76	1115	1110	1105	1064	1516	1115	1111	1110	1035	1114	1111	1111	1111	1032	1111	1093	1111	1098	1111	1110	1111	1098	1035
ERR1414084	2	1114	1012	1005	579	265	63	3	5	4	995	2	4	838	3	7	5	3	1082	3	2	2	2	1000	1535	1047	5	3	1000	987	1507	1086	7	1008	92	5	1009	1106	580	1110	0	3	4	3	67	2	1103	1009	38	3	6	1008	1126	4	1093	5	2	1107	4	1083	4	34	4	8	5	3	44	1001	36	3	6	841	3	995	3	839	7	863	38	3	3	31	67	38	3	1129	5	5	7	2	1108	3	578	5	1004	1260	5	6	841	578	2	4	4	3	998	850	4	586	1102	1531	1007	3	5	8	842	2	7	7	2	987	1473	7	7	6	4	840	1086	5	1009	39	3	5	1145	1007	1009	4	1102	24	3	577	986	1518	36	3	3	1006	36	4	5	3	1008	6	999	6	837	580	7	2	836	1009
ERR1414032	3	1114	1011	1004	578	265	64	4	4	5	995	3	3	838	2	8	4	2	1081	2	1	1	1	999	1535	1048	4	2	1001	986	1507	1085	6	1007	93	4	1008	1106	579	1110	3	0	3	2	70	1	1104	1008	37	2	5	1010	1125	3	1092	4	1	1107	7	1082	5	33	3	7	6	2	43	1000	35	2	9	841	4	994	2	841	4	863	37	2	6	30	68	37	2	1128	4	4	6	3	1108	2	577	4	1005	1261	4	5	841	577	1	3	3	2	997	850	3	585	1102	1531	1006	4	6	7	843	1	6	6	1	986	1473	6	6	9	5	842	1085	4	1008	38	2	6	1144	1006	1008	3	1102	25	2	579	988	1518	35	2	2	1005	35	3	4	2	1007	5	998	5	839	579	4	3	836	1010
ERR1414019	2	1115	1011	1006	580	266	65	3	3	4	998	4	2	839	3	9	3	3	1082	1	2	2	2	1000	1535	1049	3	3	1001	986	1507	1086	5	1007	92	5	1010	1107	579	1111	4	3	0	3	69	2	1103	1010	38	1	4	1010	1125	4	1093	3	2	1106	8	1083	4	34	2	8	5	1	42	1002	36	1	8	842	3	996	1	842	7	862	38	3	7	29	69	36	1	1129	3	3	5	2	1109	3	577	1	1005	1261	3	4	842	579	2	2	4	1	998	849	4	585	1104	1531	1008	3	5	6	844	2	3	5	2	988	1473	7	3	8	2	843	1086	3	1008	37	1	5	1145	1008	1006	2	1104	26	3	581	988	1518	36	1	1	1007	34	2	3	1	1007	4	999	4	838	579	7	2	835	1010
ERR1414067	3	1114	1011	1004	578	265	64	4	4	3	996	3	3	837	2	8	4	2	1081	2	1	1	1	999	1535	1048	4	2	1001	986	1507	1085	4	1007	91	4	1008	1106	578	1110	3	2	3	0	70	1	1104	1008	35	2	5	1010	1125	3	1092	2	1	1107	7	1082	5	33	1	9	4	2	41	1000	35	2	7	840	4	994	2	840	4	862	37	2	4	30	70	37	2	1128	4	2	6	3	1108	2	577	4	1005	1261	4	5	842	577	1	3	3	2	997	849	3	585	1102	1531	1006	4	6	5	844	1	6	6	1	986	1473	8	6	9	5	841	1085	4	1008	36	2	6	1144	1006	1008	3	1102	25	2	579	988	1518	35	2	2	1005	35	3	4	2	1007	5	998	3	838	579	6	3	835	1010
ERR1414099	67	1129	1025	1018	598	303	48	66	68	67	1004	67	67	861	68	64	66	68	1098	68	69	69	69	1016	1536	1024	66	68	1009	999	1506	1101	68	1017	135	66	1019	1121	596	1124	67	70	69	70	0	69	1115	1017	37	68	69	1016	1140	67	1106	70	69	1120	63	1100	67	41	69	65	68	70	33	1017	35	70	63	863	66	1008	68	857	70	886	56	68	68	79	26	35	68	1141	66	72	66	67	1123	68	597	70	1013	1250	66	65	858	595	69	67	70	70	1014	874	67	604	1117	1532	1019	68	64	65	854	69	66	66	69	997	1476	64	70	61	67	858	1096	66	1017	34	68	64	1159	1018	1019	69	1116	61	68	595	993	1519	35	68	70	1018	50	67	66	68	1021	65	1015	67	852	598	68	67	857	1016
ERR1414047	2	1114	1011	1004	578	264	65	3	3	4	996	2	2	837	1	9	3	1	1081	1	0	0	0	999	1535	1049	3	1	1001	986	1507	1085	5	1007	92	3	1008	1106	579	1110	2	1	2	1	69	0	1104	1008	36	1	4	1010	1125	2	1092	3	0	1107	6	1082	4	32	2	8	5	1	42	1000	34	1	8	840	3	994	1	840	5	862	36	1	5	29	69	36	1	1128	3	3	5	2	1108	1	577	3	1005	1261	3	4	842	577	0	2	2	1	997	849	2	585	1102	1531	1006	3	5	6	844	0	5	5	0	986	1473	7	5	8	4	841	1085	3	1008	37	1	5	1144	1006	1008	2	1102	26	1	579	988	1518	34	1	1	1005	34	2	3	1	1007	4	998	4	838	579	5	2	835	1010
ERR1413982	1102	89	1033	1029	1100	1087	1112	1102	1103	1103	1064	1104	1103	1085	1104	1103	1102	1103	1081	1103	1104	1104	1104	1096	1534	1311	1103	1104	1067	1058	1506	1121	1104	1030	1117	1105	1028	48	1095	77	1103	1104	1103	1104	1115	1104	0	1029	1109	1103	1104	1027	1123	1105	1093	1105	1104	83	1104	1090	1103	1108	1103	1104	1102	1104	1107	1090	1109	1104	1102	1085	1102	1062	1103	1086	1105	1103	1109	1105	1103	1110	1114	1108	1103	1137	1104	1104	1105	1102	52	1104	1096	1104	1024	1247	1104	1104	1084	1096	1104	1104	1104	1104	1092	1092	1104	1101	12	1524	1030	1102	1102	1105	1086	1104	1104	1104	1104	1059	1471	1104	1105	1104	1104	1086	1101	1103	1027	1109	1103	1104	1148	1032	1030	1105	13	1105	1104	1095	1058	1518	1109	1103	1104	1030	1106	1104	1103	1103	1029	1103	1094	1103	1085	1102	1105	1102	1086	1027
ERR1413987	1010	1044	107	98	1006	955	1014	1010	1010	1009	972	1008	1008	862	1008	1008	1008	1008	1025	1009	1008	1008	1008	996	1534	1274	1008	1008	976	957	1511	1032	1008	96	1022	1007	12	1029	1007	1034	1009	1008	1010	1008	1017	1008	1029	0	1011	1009	1010	12	1045	1007	1034	1008	1008	1033	1006	1024	1009	1012	1009	1007	1010	1009	1011	995	1011	1009	1008	862	1009	972	1009	862	1006	890	1011	1007	1010	1012	1015	1013	1009	1052	1008	1010	1007	1010	1033	1008	1008	1011	101	1227	1008	1007	869	1004	1008	1008	1008	1009	993	879	1007	1012	1030	1530	100	1010	1008	1007	862	1008	1010	1007	1008	955	1475	1007	1011	1007	1009	863	1018	1009	11	1011	1009	1006	1098	98	99	1009	1026	1009	1007	1007	958	1515	1011	1009	1009	96	1011	1008	1008	1009	93	1008	994	1008	867	1011	1007	1010	866	10
ERR1414083	38	1119	1014	1007	582	277	47	37	39	38	997	38	38	840	37	43	39	37	1086	37	36	36	36	1004	1535	1049	39	37	1003	986	1506	1087	35	1010	119	37	1011	1111	581	1115	38	37	38	35	37	36	1109	1011	0	37	40	1013	1127	36	1096	37	36	1112	42	1087	40	8	36	44	39	37	6	1004	4	37	40	843	39	995	37	843	39	865	24	37	39	46	35	6	37	1131	39	37	39	38	1113	37	580	39	1008	1259	39	38	845	580	36	38	36	37	1002	853	38	588	1107	1531	1009	39	39	38	847	36	39	41	36	986	1473	41	41	44	40	844	1085	37	1011	5	37	41	1146	1009	1011	38	1107	58	37	582	987	1518	4	37	37	1008	22	38	39	37	1010	40	1003	38	841	583	41	38	838	1013
ERR1414028	1	1115	1012	1005	579	265	64	2	2	3	997	3	1	838	2	8	2	2	1082	0	1	1	1	1000	1535	1048	2	2	1002	987	1507	1086	4	1006	91	4	1009	1107	578	1111	3	2	1	2	68	1	1103	1009	37	0	3	1009	1126	3	1093	4	1	1106	7	1083	3	33	1	7	4	2	41	1001	35	2	7	841	2	995	0	841	6	863	37	2	6	30	68	35	0	1129	2	4	4	1	1109	2	578	2	1004	1260	2	3	841	578	1	1	3	2	998	850	3	586	1103	1531	1007	2	4	5	843	1	4	4	1	987	1473	6	4	7	3	842	1086	2	1007	36	0	4	1145	1007	1007	3	1103	25	2	580	987	1518	35	0	2	1006	33	1	2	0	1008	3	999	3	837	578	6	1	834	1009
ERR1414074	4	1116	1013	1006	581	268	63	5	3	6	998	6	4	839	3	11	5	5	1082	3	4	4	4	1002	1534	1045	3	3	1003	988	1507	1086	7	1007	88	7	1010	1108	579	1112	6	5	4	5	69	4	1104	1010	40	3	0	1010	1127	6	1092	7	4	1107	10	1083	6	36	4	10	7	5	42	1003	38	5	8	842	5	996	3	842	9	865	40	5	9	33	69	38	3	1130	5	7	7	4	1110	3	580	5	1005	1257	5	6	843	580	4	4	6	5	1000	852	6	587	1104	1531	1008	5	7	8	844	4	5	5	4	988	1473	9	7	10	6	841	1088	3	1008	39	3	7	1145	1008	1008	6	1104	24	5	582	988	1518	38	3	5	1007	34	4	5	3	1009	6	1001	6	839	580	9	4	836	1010
ERR1414092	1008	1045	108	99	1008	958	1013	1008	1010	1007	973	1008	1009	865	1010	1006	1009	1010	1027	1009	1010	1010	1010	999	1534	1274	1009	1010	977	959	1511	1034	1008	95	1022	1009	14	1030	1007	1035	1008	1010	1010	1010	1016	1010	1027	12	1013	1009	1010	0	1048	1009	1036	1010	1010	1032	1007	1026	1007	1014	1009	1008	1008	1011	1012	998	1013	1011	1007	865	1008	974	1009	864	1009	892	1013	1009	1009	1014	1014	1013	1009	1054	1008	1012	1008	1008	1034	1010	1010	1011	98	1228	1008	1008	869	1006	1010	1008	1010	1011	996	881	1009	1014	1031	1530	103	1008	1008	1007	862	1010	1009	1008	1010	957	1475	1007	1011	1007	1008	864	1021	1009	10	1011	1009	1008	1099	99	98	1010	1028	1007	1010	1005	955	1515	1013	1009	1011	99	1011	1008	1008	1009	94	1008	997	1008	864	1011	1010	1008	867	11
ERR027411	1127	1103	1042	1041	1123	1103	1138	1126	1126	1128	1082	1127	1127	1076	1124	1129	1127	1125	928	1126	1125	1125	1125	1085	1528	1188	1126	1124	1084	1072	1489	885	1126	1044	1135	1125	1046	1114	1121	1109	1126	1125	1125	1125	1140	1125	1123	1045	1127	1126	1127	1048	0	1125	909	1125	1125	1125	1128	935	1128	1128	1126	1129	1127	1124	1127	1089	1128	1124	1126	1077	1128	1077	1126	1080	1127	1055	1131	1126	1127	1122	1139	1130	1126	967	1127	1125	1128	1127	1121	1124	1118	1124	1045	1102	1127	1127	1083	1120	1125	1127	1125	1124	1081	1074	1126	1120	1124	1512	1041	1127	1127	1127	1081	1125	1124	1127	1125	1075	1459	1128	1127	1130	1126	1080	895	1124	1047	1130	1126	1128	1034	1043	1043	1125	1122	1131	1125	1122	1079	1511	1128	1126	1124	1041	1129	1127	1127	1126	1043	1127	1080	1127	1081	1125	1127	1127	1079	1049
ERR1414010	4	1115	1012	1005	577	266	63	3	5	4	995	2	4	838	3	11	5	3	1082	3	2	2	2	1000	1535	1047	5	3	1000	987	1506	1087	3	1006	90	1	1007	1107	579	1110	4	3	4	3	67	2	1105	1007	36	3	6	1009	1125	0	1092	3	2	1108	6	1083	4	34	4	8	7	3	42	1001	36	3	8	841	5	995	3	839	5	863	38	1	7	31	67	38	3	1129	3	5	5	4	1109	3	577	5	1006	1260	3	2	843	576	2	2	4	3	998	850	2	585	1103	1531	1007	5	5	4	843	2	5	5	2	985	1473	5	5	8	4	840	1085	3	1007	37	3	7	1145	1005	1008	4	1103	24	3	578	987	1518	36	3	3	1006	36	2	3	3	1008	4	999	4	837	579	5	4	836	1009
ERR024920	1094	1069	1041	1039	1101	1079	1102	1094	1094	1094	1045	1093	1094	1068	1092	1096	1093	1091	374	1093	1092	1092	1092	1071	1524	1221	1094	1092	1037	1031	1479	920	1093	1041	1098	1092	1033	1086	1101	1082	1093	1092	1093	1092	1106	1092	1093	1034	1096	1093	1092	1036	909	1092	0	1092	1092	1097	1094	309	1093	1097	1093	1095	1094	1092	1096	1069	1096	1092	1095	1072	1095	1041	1093	1073	1092	1062	1097	1092	1094	1090	1103	1098	1093	856	1093	1093	1094	1094	1094	1092	1098	1092	1038	1128	1093	1094	1075	1099	1092	1093	1092	1092	1065	1071	1091	1099	1094	1521	1041	1093	1095	1094	1075	1092	1094	1094	1092	1032	1456	1095	1095	1096	1093	1072	864	1093	1036	1097	1093	1095	890	1038	1042	1093	1093	1095	1092	1101	1036	1512	1096	1093	1092	1038	1097	1093	1092	1093	1040	1092	1061	1092	1072	1102	1093	1094	1072	1034
ERR1414059	5	1115	1011	1006	578	267	64	6	6	3	996	3	5	839	4	10	6	4	1081	4	3	3	3	1000	1535	1048	6	4	999	986	1507	1086	4	1007	91	4	1008	1107	579	1110	5	4	3	2	70	3	1105	1008	37	4	7	1010	1125	3	1092	0	3	1108	7	1082	5	35	3	9	6	2	43	1002	37	2	9	842	6	996	4	840	4	862	39	2	6	30	70	39	4	1128	4	2	6	5	1109	4	576	4	1007	1262	4	5	844	577	3	3	5	2	998	849	3	584	1104	1531	1008	6	8	5	844	3	6	6	3	986	1473	8	4	9	3	841	1085	6	1008	36	4	8	1144	1006	1007	3	1104	25	4	579	988	1518	37	4	2	1007	37	3	4	4	1007	5	999	3	838	580	6	5	837	1010
ERR1414057	2	1114	1011	1004	578	264	65	3	3	4	996	2	2	837	1	9	3	1	1081	1	0	0	0	999	1535	1049	3	1	1001	986	1507	1085	5	1007	92	3	1008	1106	579	1110	2	1	2	1	69	0	1104	1008	36	1	4	1010	1125	2	1092	3	0	1107	6	1082	4	32	2	8	5	1	42	1000	34	1	8	840	3	994	1	840	5	862	36	1	5	29	69	36	1	1128	3	3	5	2	1108	1	577	3	1005	1261	3	4	842	577	0	2	2	1	997	849	2	585	1102	1531	1006	3	5	6	844	0	5	5	0	986	1473	7	5	8	4	841	1085	3	1008	37	1	5	1144	1006	1008	2	1102	26	1	579	988	1518	34	1	1	1005	34	2	3	1	1007	4	998	4	838	579	5	2	835	1010
ERR1413984	1106	127	1037	1033	1101	1092	1116	1106	1106	1107	1071	1108	1106	1088	1107	1107	1106	1107	1083	1106	1107	1107	1107	1099	1534	1315	1106	1107	1076	1063	1506	1122	1107	1034	1123	1108	1033	89	1097	114	1107	1107	1106	1107	1120	1107	83	1033	1112	1106	1107	1032	1125	1108	1097	1108	1107	0	1108	1092	1107	1111	1106	1107	1106	1107	1111	1093	1112	1107	1106	1088	1106	1068	1106	1090	1108	1106	1112	1108	1107	1114	1120	1111	1106	1139	1107	1107	1108	1106	90	1107	1098	1107	1028	1253	1107	1107	1089	1098	1107	1107	1107	1107	1095	1095	1108	1103	86	1525	1034	1106	1106	1108	1090	1107	1107	1107	1107	1064	1472	1108	1108	1108	1107	1090	1107	1106	1031	1112	1106	1107	1153	1036	1034	1108	84	1110	1107	1098	1064	1518	1112	1106	1107	1034	1109	1107	1107	1106	1032	1107	1097	1107	1090	1103	1108	1106	1089	1033
ERR1414079	6	1115	1013	1006	579	268	59	7	9	6	995	4	6	841	7	5	7	7	1083	7	6	6	6	1001	1535	1043	7	7	1000	989	1507	1087	9	1007	90	7	1008	1107	581	1110	4	7	8	7	63	6	1104	1006	42	7	10	1007	1128	6	1094	7	6	1108	0	1084	6	38	8	4	7	7	46	1002	40	7	6	844	5	997	7	839	7	866	41	5	5	35	63	42	7	1130	7	9	9	6	1109	7	579	9	1004	1259	7	6	842	578	6	6	7	7	999	853	6	587	1103	1531	1007	7	5	8	840	6	11	7	6	987	1473	7	9	4	6	841	1087	9	1007	41	7	5	1146	1006	1009	8	1102	20	5	577	986	1518	40	7	7	1006	39	6	7	7	1009	8	1000	8	838	581	5	6	839	1007
ERR024910	1084	1091	1031	1029	1097	1066	1095	1085	1084	1084	1043	1083	1084	1062	1082	1086	1084	1082	232	1083	1082	1082	1082	1063	1532	1310	1084	1082	1039	1037	1498	907	1084	1031	1100	1083	1024	1086	1097	1091	1083	1082	1083	1082	1100	1082	1090	1024	1087	1083	1083	1026	935	1083	309	1082	1082	1092	1084	0	1084	1087	1083	1085	1084	1082	1088	1062	1086	1082	1086	1064	1085	1039	1083	1065	1083	1079	1087	1082	1084	1082	1098	1088	1083	831	1083	1083	1084	1084	1092	1082	1095	1083	1026	1166	1083	1085	1070	1095	1082	1083	1082	1082	1057	1076	1082	1098	1089	1520	1032	1084	1086	1085	1067	1082	1085	1084	1082	1037	1449	1086	1085	1086	1083	1064	863	1084	1026	1087	1083	1085	889	1029	1031	1083	1088	1089	1082	1097	1041	1515	1086	1083	1082	1029	1087	1083	1083	1083	1028	1083	1060	1083	1067	1100	1083	1084	1066	1025
ERR1414075	2	1116	1014	1007	580	267	61	3	5	2	995	2	4	840	5	9	5	5	1083	3	4	4	4	1002	1535	1045	5	5	999	989	1507	1088	5	1006	88	5	1009	1108	580	1111	4	5	4	5	67	4	1103	1009	40	3	6	1007	1128	4	1093	5	4	1107	6	1084	0	36	4	8	5	5	44	1003	38	5	8	843	3	997	3	839	5	865	40	3	7	33	65	38	3	1130	3	7	5	2	1110	5	580	5	1004	1258	3	4	841	579	4	2	6	5	1000	852	4	588	1104	1531	1009	1	5	6	841	4	7	5	4	987	1473	5	5	6	4	840	1087	5	1007	37	3	7	1146	1007	1008	6	1104	24	5	579	985	1518	38	3	5	1008	36	2	3	3	1010	4	1001	4	835	580	7	2	836	1007
