strain	ERR1414009	ERR024924	ERR024916	ERR1413996	ERR1413978	SRR1922795	ERR1414100	ERR1414012	ERR1414018	ERR1414058	SRR1922792	ERR1414031	ERR1414082	ERR1414001	ERR1414016	ERR1414095	ERR1414040	ERR1414027	ERR024903	ERR1414007	ERR1414050	ERR1414065	ERR1414039	ERR024923	ERR024904	ERR028208	ERR1414035	ERR1414033	SRR1922797	SRR1922796	ERR024901	ERR024907	ERR1414060	ERR1413989	ERR1414055	ERR1414048	ERR1413981	ERR024894	ERR1414091	ERR024928	ERR1414084	ERR1414032	ERR1414019	ERR1414067	ERR1414099	ERR1414047	ERR1413982	ERR1413987	ERR1414083	ERR1414028	ERR1414074	ERR1414092	ERR027411	ERR1414010	ERR024920	ERR1414059	ERR1414057	ERR1413984	ERR1414079	ERR024910	ERR1414075	ERR1413980	ERR1414006	ERR1414087	ERR1414086	ERR1414014	ERR1414005	ERR1414004	ERR1414015	ERR1414044	ERR1414071	ERR1414093	ERR1414011	SRR1922793	ERR1414049	ERR1414064	ERR1414076	ERR024929	ERR1413994	ERR1414043	ERR1414077	ERR024914	ERR1414101	ERR1414042	ERR1414017	ERR024921	ERR1414024	ERR1414056	ERR1414072	ERR1414013	ERR024902	ERR1414052	ERR1413983	ERR1414022	ERR1414003	ERR027412	ERR1414026	ERR1414089	ERR1413988	ERR1413993	ERR1414023	ERR1414053	ERR1414070	ERR1414025	ERR024927	ERR024925	ERR1414020	ERR024911	ERR1413991	ERR024915	ERR1413998	ERR1414034	ERR1414085	ERR1414078	ERR1414098	ERR1414045	ERR1414061	ERR1414062	ERR1414036	SRR1922794	ERR024893	ERR1414068	ERR1414094	ERR1414069	ERR1414080	ERR1414002	ERR024908	ERR1414021	ERR1413985	ERR1414037	ERR1414041	ERR1414081	ERR024917	ERR1413990	ERR1413999	ERR1414030	ERR1413992	ERR1414097	ERR1414073	ERR1414090	ERR1414096	ERR024895	ERR1414008	ERR1414051	ERR1414066	ERR1413997	ERR1413995	ERR1414046	ERR1414054	ERR1414063	ERR024930	ERR1414038	ERR024926	ERR1413976	ERR1413979	ERR1413977	ERR1414088	ERR1414029	ERR1414000	ERR1413986
SRR1922797	4031	5622	4443	4443	4397	4179	4058	4030	4030	4030	1111	4030	4030	4596	4030	4030	4030	4030	5738	4030	4031	4030	4030	5003	36945	4053	4030	4030	0	1124	20385	6533	4030	4443	4032	4030	4447	5608	4399	5610	4031	4030	4030	4030	4058	4030	5601	4450	4056	4030	4030	4448	5977	4031	5882	4030	4030	5605	4030	5816	4030	4054	4030	4030	4030	4030	4059	5009	4059	4030	4030	4601	4030	1113	4030	4600	4030	4609	4055	4030	4031	4045	4058	4058	4030	6709	4030	4030	4030	4030	5608	4030	4392	4030	4437	9558	4030	4031	4583	4398	4030	4030	4030	4030	4993	4605	4030	4387	5603	35917	4450	4030	4030	4030	4597	4031	4030	4030	4030	1127	18196	4030	4031	4030	4030	4596	5464	4030	4449	4058	4030	4030	7925	4446	4441	4030	5601	4030	4030	4399	1125	35999	4058	4031	4030	4445	4056	4030	4030	4030	4434	4031	4984	4030	4578	4396	4030	4030	4578	4450
SRR1922796	3960	5561	4357	4357	4320	4124	3987	3959	3959	3959	576	3959	3959	4523	3959	3959	3959	3959	5694	3959	3960	3959	3959	4910	36977	3976	3959	3959	1124	0	20427	6467	3959	4357	3961	3959	4361	5547	4322	5549	3960	3959	3959	3959	3987	3959	5540	4364	3985	3959	3959	4362	5900	3960	5857	3959	3959	5544	3959	5771	3959	3983	3959	3959	3959	3959	3988	4916	3988	3959	3959	4528	3959	578	3959	4527	3959	4536	3984	3959	3960	3974	3987	3987	3959	6691	3959	3959	3959	3959	5547	3959	4315	3959	4351	9607	3959	3960	4510	4321	3959	3959	3959	3959	4900	4532	3959	4310	5542	35888	4364	3959	3959	3959	4524	3960	3959	3959	3959	5	18245	3959	3960	3959	3959	4523	5361	3959	4363	3987	3959	3959	7895	4360	4355	3959	5540	3959	3959	4322	3	35992	3987	3960	3959	4359	3985	3959	3959	3959	4348	3960	4891	3959	4505	4319	3959	3959	4505	4364
ERR024901	19425	21444	20786	20786	20065	19699	19456	19424	19424	19424	20327	19424	19424	20316	19424	19424	19424	19424	20609	19424	19425	19424	19424	20985	40789	19539	19424	19424	20385	20427	0	21433	19424	20786	19426	19424	20793	21432	20067	21434	19425	19424	19424	19424	19454	19424	21423	20796	19452	19424	19424	20794	21279	19425	20760	19424	19424	21427	19424	20664	19424	19450	19424	19424	19424	19424	19455	20993	19455	19424	19424	20319	19424	20329	19424	20318	19424	20329	19453	19424	19425	19439	19454	19454	19424	20277	19424	19424	19424	19424	21432	19424	20060	19424	20776	17461	19424	19425	20301	20066	19424	19424	19424	19424	20977	20325	19424	20057	21425	40196	20793	19424	19424	19424	20315	19425	19424	19424	19424	20430	10027	19424	19425	19424	19424	20314	20965	19424	20795	19454	19424	19424	19050	20789	20784	19424	21423	19424	19424	20067	20428	40195	19454	19425	19424	20788	19454	19424	19424	19424	20777	19425	20970	19424	20296	20064	19424	19424	20296	20796
ERR024907	5552	6692	6014	6014	5969	5765	5585	5551	5551	5551	6561	5551	5551	6223	5551	5551	5551	5551	5656	5551	5552	5551	5551	6739	35926	5634	5551	5551	6533	6467	21433	0	5551	6014	5553	5551	6018	6678	5971	6680	5552	5551	5551	5551	5583	5551	6671	6021	5581	5551	5551	6019	5306	5552	5839	5551	5551	6675	5551	5771	5551	5579	5551	5551	5551	5551	5584	6745	5584	5551	5551	6228	5551	6563	5551	6227	5551	6236	5582	5551	5552	5566	5583	5583	5551	6491	5551	5551	5551	5551	6678	5551	5963	5551	6006	9839	5551	5552	6210	5970	5551	5551	5551	5551	6729	6232	5551	5959	6673	34899	6021	5551	5551	5551	6224	5552	5551	5551	5551	6470	18735	5551	5552	5551	5551	6223	5192	5551	6020	5583	5551	5551	7609	6017	6012	5551	6671	5551	5551	5971	6468	35004	5583	5552	5551	6016	5583	5551	5551	5551	6005	5552	6720	5551	6205	5968	5551	5551	6205	6021
ERR1414060	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1413989	3658	4791	26	6	3998	3525	3691	3657	3657	3657	4462	3657	3657	3490	3657	3657	3657	3657	5287	3657	3658	3657	3657	4649	36895	3583	3657	3657	4443	4357	20786	6014	3657	0	3659	3657	186	4777	4000	4779	3658	3657	3657	3657	3689	3657	4770	189	3687	3657	3657	187	5423	3658	5456	3657	3657	4774	3657	5331	3657	3685	3657	3657	3657	3657	3690	4651	3690	3657	3657	3495	3657	4464	3657	3494	3657	3503	3688	3657	3658	3672	3689	3689	3657	6172	3657	3657	3657	3657	4779	3657	3993	3657	92	9519	3657	3658	3477	3999	3657	3657	3657	3657	4635	3499	3657	3988	4772	35805	13	3657	3657	3657	3491	3658	3657	3657	3657	4360	18317	3657	3658	3657	3657	3490	4941	3657	188	3689	3657	3657	7466	7	2	3657	4770	3657	3657	4000	4358	35893	3689	3658	3657	8	3689	3657	3657	3657	63	3658	4626	3657	3472	3997	3657	3657	3472	189
ERR1414055	3	4737	3659	3659	1817	887	42	2	2	2	4064	2	2	2898	2	2	2	2	4970	2	3	2	2	4068	35218	420	2	2	4032	3961	19426	5553	2	3659	0	2	3663	4723	1819	4725	3	2	2	2	40	2	4716	3666	38	2	2	3664	5137	3	5129	2	2	4720	2	5044	2	36	2	2	2	2	41	4072	41	2	2	2903	2	4066	2	2902	2	2911	39	2	3	23	40	40	2	5879	2	2	2	2	4725	2	1812	2	3653	8856	2	3	2885	1818	2	2	2	2	4056	2907	2	1807	4718	34174	3666	2	2	2	2899	3	2	2	2	3964	17142	2	3	2	2	2898	4628	2	3665	40	2	2	6997	3662	3657	2	4716	2	2	1819	3962	34280	40	3	2	3661	40	2	2	2	3650	3	4047	2	2880	1816	2	2	2880	3666
ERR1414048	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1413981	3662	4793	186	186	4002	3529	3695	3661	3661	3661	4466	3661	3661	3494	3661	3661	3661	3661	5293	3661	3662	3661	3661	4651	36894	3587	3661	3661	4447	4361	20793	6018	3661	186	3663	3661	0	4779	4004	4781	3662	3661	3661	3661	3693	3661	4772	5	3691	3661	3661	3	5431	3662	5460	3661	3661	4776	3661	5337	3661	3689	3661	3661	3661	3661	3694	4653	3694	3661	3661	3499	3661	4468	3661	3498	3661	3507	3692	3661	3662	3676	3693	3693	3661	6177	3661	3661	3661	3661	4781	3661	3997	3661	180	9522	3661	3662	3479	4003	3661	3661	3661	3661	4637	3503	3661	3992	4774	35802	193	3661	3661	3661	3495	3662	3661	3661	3661	4364	18322	3661	3662	3661	3661	3494	4945	3661	6	3693	3661	3661	7471	189	184	3661	4772	3661	3661	4004	4362	35892	3693	3662	3661	188	3693	3661	3661	3661	177	3662	4628	3661	3476	4001	3661	3661	3476	5
ERR024894	4722	92	4777	4777	5032	4897	4751	4721	4721	4721	5625	4721	4721	5188	4721	4721	4721	4721	6073	4721	4722	4721	4721	5869	37697	4759	4721	4721	5608	5547	21432	6678	4721	4777	4723	4721	4779	0	5034	84	4722	4721	4721	4721	4751	4721	71	4782	4749	4721	4721	4780	6197	4722	6234	4721	4721	165	4721	6139	4721	4747	4721	4721	4721	4721	4752	5873	4752	4721	4721	5193	4721	5627	4721	5192	4721	5199	4748	4721	4722	4736	4751	4751	4721	7027	4721	4721	4721	4721	74	4721	5027	4721	4771	10122	4721	4722	5175	5033	4721	4721	4721	4721	5857	5197	4721	5022	73	36642	4784	4721	4721	4721	5189	4722	4721	4721	4721	5550	18896	4721	4722	4721	4721	5188	5751	4721	4781	4751	4721	4721	8343	4780	4775	4721	71	4721	4721	5034	5548	36750	4751	4722	4721	4779	4749	4721	4721	4721	4768	4722	5848	4721	5170	5031	4721	4721	5170	4782
ERR1414091	1818	5048	4000	4000	30	2212	1851	1817	1817	1817	4435	1817	1817	3029	1817	1817	1817	1817	5315	1817	1818	1817	1817	4415	36008	1983	1817	1817	4399	4322	20067	5971	1817	4000	1819	1817	4004	5034	0	5036	1818	1817	1817	1817	1849	1817	5027	4007	1847	1817	1817	4005	5474	1818	5451	1817	1817	5031	1817	5377	1817	1845	1817	1817	1817	1817	1850	4419	1850	1817	1817	3034	1817	4437	1817	3033	1817	3042	1848	1817	1818	1832	1849	1849	1817	6247	1817	1817	1817	1817	5036	1817	25	1817	3994	9289	1817	1818	3016	19	1817	1817	1817	1817	4403	3038	1817	78	5029	34962	4007	1817	1817	1817	3030	1818	1817	1817	1817	4325	17754	1817	1818	1817	1817	3029	4973	1817	4006	1849	1817	1817	7348	4003	3998	1817	5027	1817	1817	0	4323	35048	1849	1818	1817	4002	1849	1817	1817	1817	3991	1818	4394	1817	3011	29	1817	1817	3011	4007
ERR024928	4724	96	4779	4779	5034	4899	4753	4723	4723	4723	5627	4723	4723	5190	4723	4723	4723	4723	6075	4723	4724	4723	4723	5871	37701	4761	4723	4723	5610	5549	21434	6680	4723	4779	4725	4723	4781	84	5036	0	4724	4723	4723	4723	4753	4723	77	4784	4751	4723	4723	4782	6199	4724	6236	4723	4723	167	4723	6141	4723	4749	4723	4723	4723	4723	4754	5875	4754	4723	4723	5195	4723	5629	4723	5194	4723	5201	4750	4723	4724	4738	4753	4753	4723	7029	4723	4723	4723	4723	86	4723	5029	4723	4773	10124	4723	4724	5177	5035	4723	4723	4723	4723	5859	5199	4723	5024	79	36646	4786	4723	4723	4723	5191	4724	4723	4723	4723	5552	18898	4723	4724	4723	4723	5190	5755	4723	4783	4753	4723	4723	8345	4782	4777	4723	77	4723	4723	5036	5550	36752	4753	4724	4723	4781	4751	4723	4723	4723	4770	4724	5850	4723	5172	5033	4723	4723	5172	4784
ERR1414084	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	0	1	1	1	39	1	4715	3665	37	1	1	3663	5136	2	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	2	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	2	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	2	1	3660	39	1	1	1	3649	2	4046	1	2879	1815	1	1	2879	3665
ERR1414032	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414019	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414067	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414099	39	4765	3689	3689	1847	917	30	38	38	38	4090	38	38	2928	38	38	38	38	5000	38	39	38	38	4098	35245	450	38	38	4058	3987	19454	5583	38	3689	40	38	3693	4751	1849	4753	39	38	38	38	0	38	4744	3696	2	38	38	3694	5167	39	5159	38	38	4748	38	5074	38	10	38	38	38	38	3	4102	3	38	38	2933	38	4092	38	2932	38	2941	27	38	39	53	0	2	38	5909	38	38	38	38	4753	38	1842	38	3683	8884	38	39	2915	1848	38	38	38	38	4086	2937	38	1837	4746	34201	3696	38	38	38	2929	39	38	38	38	3990	17170	38	39	38	38	2928	4658	38	3695	2	38	38	7027	3692	3687	38	4744	38	38	1849	3988	34307	2	39	38	3691	28	38	38	38	3680	39	4077	38	2910	1846	38	38	2910	3696
ERR1414047	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1413982	4715	79	4770	4770	5025	4890	4744	4714	4714	4714	5618	4714	4714	5181	4714	4714	4714	4714	6066	4714	4715	4714	4714	5862	37692	4752	4714	4714	5601	5540	21423	6671	4714	4770	4716	4714	4772	71	5027	77	4715	4714	4714	4714	4744	4714	0	4775	4742	4714	4714	4773	6190	4715	6227	4714	4714	158	4714	6132	4714	4740	4714	4714	4714	4714	4745	5866	4745	4714	4714	5186	4714	5620	4714	5185	4714	5192	4741	4714	4715	4729	4744	4744	4714	7020	4714	4714	4714	4714	73	4714	5020	4714	4764	10115	4714	4715	5168	5026	4714	4714	4714	4714	5850	5190	4714	5015	10	36637	4777	4714	4714	4714	5182	4715	4714	4714	4714	5543	18887	4714	4715	4714	4714	5181	5746	4714	4774	4744	4714	4714	8336	4773	4768	4714	14	4714	4714	5027	5541	36743	4744	4715	4714	4772	4742	4714	4714	4714	4761	4715	5841	4714	5163	5024	4714	4714	5163	4775
ERR1413987	3665	4796	189	189	4005	3532	3698	3664	3664	3664	4469	3664	3664	3497	3664	3664	3664	3664	5296	3664	3665	3664	3664	4654	36897	3590	3664	3664	4450	4364	20796	6021	3664	189	3666	3664	5	4782	4007	4784	3665	3664	3664	3664	3696	3664	4775	0	3694	3664	3664	6	5434	3665	5463	3664	3664	4779	3664	5340	3664	3692	3664	3664	3664	3664	3697	4656	3697	3664	3664	3502	3664	4471	3664	3501	3664	3510	3695	3664	3665	3679	3696	3696	3664	6180	3664	3664	3664	3664	4784	3664	4000	3664	183	9525	3664	3665	3482	4006	3664	3664	3664	3664	4640	3506	3664	3995	4777	35805	196	3664	3664	3664	3498	3665	3664	3664	3664	4367	18325	3664	3665	3664	3664	3497	4948	3664	9	3696	3664	3664	7474	192	187	3664	4775	3664	3664	4007	4365	35895	3696	3665	3664	191	3696	3664	3664	3664	180	3665	4631	3664	3479	4004	3664	3664	3479	4
ERR1414083	37	4763	3687	3687	1845	915	28	36	36	36	4088	36	36	2926	36	36	36	36	4998	36	37	36	36	4096	35243	448	36	36	4056	3985	19452	5581	36	3687	38	36	3691	4749	1847	4751	37	36	36	36	2	36	4742	3694	0	36	36	3692	5165	37	5157	36	36	4746	36	5072	36	8	36	36	36	36	3	4100	3	36	36	2931	36	4090	36	2930	36	2939	25	36	37	51	2	2	36	5907	36	36	36	36	4751	36	1840	36	3681	8882	36	37	2913	1846	36	36	36	36	4084	2935	36	1835	4744	34199	3694	36	36	36	2927	37	36	36	36	3988	17168	36	37	36	36	2926	4656	36	3693	2	36	36	7025	3690	3685	36	4742	36	36	1847	3986	34305	2	37	36	3689	26	36	36	36	3678	37	4075	36	2908	1844	36	36	2908	3694
ERR1414028	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414074	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414092	3663	4794	187	187	4003	3530	3696	3662	3662	3662	4467	3662	3662	3495	3662	3662	3662	3662	5294	3662	3663	3662	3662	4652	36895	3588	3662	3662	4448	4362	20794	6019	3662	187	3664	3662	3	4780	4005	4782	3663	3662	3662	3662	3694	3662	4773	6	3692	3662	3662	0	5432	3663	5461	3662	3662	4777	3662	5338	3662	3690	3662	3662	3662	3662	3695	4654	3695	3662	3662	3500	3662	4469	3662	3499	3662	3508	3693	3662	3663	3677	3694	3694	3662	6178	3662	3662	3662	3662	4782	3662	3998	3662	181	9523	3662	3663	3480	4004	3662	3662	3662	3662	4638	3504	3662	3993	4775	35803	194	3662	3662	3662	3496	3663	3662	3662	3662	4365	18323	3662	3663	3662	3662	3495	4946	3662	7	3694	3662	3662	7472	190	185	3662	4773	3662	3662	4005	4363	35893	3694	3663	3662	189	3694	3662	3662	3662	178	3663	4629	3662	3477	4002	3662	3662	3477	6
ERR027411	5136	6211	5423	5423	5472	5310	5169	5135	5135	5135	6005	5135	5135	5738	5135	5135	5135	5135	4854	5135	5136	5135	5135	6209	36794	5206	5135	5135	5977	5900	21279	5306	5135	5423	5137	5135	5431	6197	5474	6199	5136	5135	5135	5135	5167	5135	6190	5434	5165	5135	5135	5432	0	5136	5087	5135	5135	6194	5135	4960	5135	5163	5135	5135	5135	5135	5168	6215	5168	5135	5135	5743	5135	6007	5135	5742	5135	5751	5166	5135	5136	5150	5167	5167	5135	5791	5135	5135	5135	5135	6199	5135	5466	5135	5415	9308	5135	5136	5725	5473	5135	5135	5135	5135	6199	5747	5135	5462	6192	35565	5430	5135	5135	5135	5739	5136	5135	5135	5135	5903	18484	5135	5136	5135	5135	5738	4437	5135	5433	5167	5135	5135	7116	5426	5421	5135	6190	5135	5135	5474	5901	35663	5167	5136	5135	5425	5167	5135	5135	5135	5414	5136	6190	5135	5720	5471	5135	5135	5720	5434
ERR1414010	2	4736	3658	3658	1816	886	41	1	1	1	4063	1	1	2897	1	1	1	1	4969	1	2	1	1	4067	35217	419	1	1	4031	3960	19425	5552	1	3658	3	1	3662	4722	1818	4724	2	1	1	1	39	1	4715	3665	37	1	1	3663	5136	0	5128	1	1	4719	1	5043	1	35	1	1	1	1	40	4071	40	1	1	2902	1	4065	1	2901	1	2910	38	1	0	22	39	39	1	5878	1	1	1	1	4724	1	1811	1	3652	8855	1	2	2884	1817	1	1	1	1	4055	2906	1	1806	4717	34173	3665	1	1	1	2898	0	1	1	1	3963	17141	1	2	1	1	2897	4627	1	3664	39	1	1	6996	3661	3656	1	4715	1	1	1818	3961	34279	39	0	1	3660	39	1	1	1	3649	0	4046	1	2879	1815	1	1	2879	3665
ERR024920	5128	6248	5456	5456	5449	5296	5161	5127	5127	5127	5948	5127	5127	5704	5127	5127	5127	5127	1734	5127	5128	5127	5127	6171	36929	5190	5127	5127	5882	5857	20760	5839	5127	5456	5129	5127	5460	6234	5451	6236	5128	5127	5127	5127	5159	5127	6227	5463	5157	5127	5127	5461	5087	5128	0	5127	5127	6231	5127	1424	5127	5155	5127	5127	5127	5127	5160	6179	5160	5127	5127	5709	5127	5950	5127	5708	5127	5717	5158	5127	5128	5142	5159	5159	5127	5096	5127	5127	5127	5127	6234	5127	5443	5127	5448	9190	5127	5128	5689	5450	5127	5127	5127	5127	6163	5713	5127	5439	6229	35817	5463	5127	5127	5127	5705	5128	5127	5127	5127	5860	18156	5127	5128	5127	5127	5704	4485	5127	5462	5159	5127	5127	6296	5459	5454	5127	6227	5127	5127	5451	5858	35881	5159	5128	5127	5458	5159	5127	5127	5127	5447	5128	6154	5127	5686	5448	5127	5127	5686	5463
ERR1414059	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
ERR1414057	1	4735	3657	3657	1815	885	40	0	0	0	4062	0	0	2896	0	0	0	0	4968	0	1	0	0	4066	35216	418	0	0	4030	3959	19424	5551	0	3657	2	0	3661	4721	1817	4723	1	0	0	0	38	0	4714	3664	36	0	0	3662	5135	1	5127	0	0	4718	0	5042	0	34	0	0	0	0	39	4070	39	0	0	2901	0	4064	0	2900	0	2909	37	0	1	21	38	38	0	5877	0	0	0	0	4723	0	1810	0	3651	8854	0	1	2883	1816	0	0	0	0	4054	2905	0	1805	4716	34172	3664	0	0	0	2897	1	0	0	0	3962	17140	0	1	0	0	2896	4626	0	3663	38	0	0	6995	3660	3655	0	4714	0	0	1817	3960	34278	38	1	0	3659	38	0	0	0	3648	1	4045	0	2878	1814	0	0	2878	3664
